Name,Abbrevation,Type,Level,Context
Europäischer Gerichtshof für Menschenrechte,EGMR,Verfassungsgerichtsbarkeit,Europäisches Gericht,EU
Bundesverfassungsgericht,BVerfG,Verfassungsgerichtsbarkeit,Verfassungsgericht,Bund
Verfassungsgerichtshof für das Land Baden-Württemberg,VfGH Baden-Württemberg,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Baden-Württemberg
Bayerischer Verfassungsgerichtshof,VfGH Bayern,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Bayern
Verfassungsgerichtshof des Landes Berlin,VfGH Berlin,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Berlin
Verfassungsgericht des Landes Brandenburg,VerfG Brandenburg,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Brandenburg
Staatsgerichtshof der Freien Hansestadt Bremen,StGH Bremen,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Bremen
Hamburgisches Verfassungsgericht,VerfG Hamburg,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Hamburg
Staatsgerichtshof des Landes Hessen,StGH Hessen,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Hessen
Landesverfassungsgericht Mecklenburg-Vorpommern,LVerfG Mecklenburg-Vorpommern,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Mecklenburg-Vorpommern
Niedersächsischer Staatsgerichtshof,StGH Niedersachsen,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Niedersachsen
Verfassungsgerichtshof für das Land Nordrhein-Westfalen,VfGH NRW,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Nordrhein-Westfalen
Verfassungsgerichtshof Rheinland-Pfalz,VfGH Rheinland-Pfalz,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Rheinland-Pfalz
Verfassungsgerichtshof des Saarlandes,VfGH Saarland,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Saarland
Verfassungsgerichtshof des Freistaates Sachsen,VfGH Sachsen,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Sachsen
Landesverfassungsgericht Sachsen-Anhalt,LverfG Sachsen-Anhalt,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Sachsen-Anhalt
Schleswig-Holsteinisches Landesverfassungsgericht,VerfG Schleswig-Holstein,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Schleswig-Holstein
Thüringer Verfassungsgerichtshof,VfGH Thüringen,Verfassungsgerichtsbarkeit,Landesverfassungsgericht,Thüringen
Bundesgerichtshof,BGH,Ordentliche Gerichtsbarkeit,Oberster Gerichtshof des Bundes,Bund
Oberlandesgericht Karlsruhe,OLG Karlsruhe,Ordentliche Gerichtsbarkeit,Oberlandesgericht,Baden-Württemberg
Landgericht Baden-Baden,LG Baden-Baden,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Achern,AG Achern,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Baden-Baden,AG Baden-Baden,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Bühl,AG Bühl,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Gernsbach,AG Gernsbach,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Rastatt,AG Rastatt,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Landgericht Freiburg,LG Freiburg,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Breisach,AG Breisach,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Emmendingen,AG Emmendingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Ettenheim,AG Ettenheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Freiburg im Breisgau,AG Freiburg im Breisgau,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Kenzingen,AG Kenzingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Lörrach,AG Lörrach,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Müllheim (Baden),AG Müllheim (Baden),Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Staufen im Breisgau,AG Staufen im Breisgau,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Titisee-Neustadt,AG Titisee-Neustadt,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Waldkirch,AG Waldkirch,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Landgericht Heidelberg,LG Heidelberg,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Heidelberg,AG Heidelberg,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Sinsheim,AG Sinsheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Wiesloch,AG Wiesloch,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Landgericht Karlsruhe,LG Karlsruhe,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Bretten,AG Bretten,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Bruchsal,AG Bruchsal,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Ettlingen,AG Ettlingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Karlsruhe,AG Karlsruhe,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Karlsruhe-Durlach,AG Karlsruhe-Durlach,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Maulbronn,AG Maulbronn,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Pforzheim,AG Pforzheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Philippsburg,AG Philippsburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Landgericht Konstanz,LG Konstanz,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Donaueschingen,AG Donaueschingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Konstanz,AG Konstanz,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Radolfzell,AG Radolfzell,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Singen (Hohentwiel),AG Singen (Hohentwiel),Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Stockach,AG Stockach,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Überlingen,AG Überlingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Villingen-Schwenningen,AG Villingen-Schwenningen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Landgericht Mannheim,LG Mannheim,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Mannheim,AG Mannheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Schwetzingen,AG Schwetzingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Weinheim,AG Weinheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Landgericht Mosbach,LG Mosbach,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Adelsheim,AG Adelsheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Buchen (Odenwald),AG Buchen (Odenwald),Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Mosbach,AG Mosbach,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Tauberbischofsheim,AG Tauberbischofsheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Wertheim,AG Wertheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Landgericht Offenburg,LG Offenburg,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Gengenbach,AG Gengenbach,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Kehl,AG Kehl,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Lahr,AG Lahr,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Oberkirch,AG Oberkirch,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Offenburg,AG Offenburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Wolfach,AG Wolfach,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Landgericht Waldshut-Tiengen,LG Waldshut-Tiengen,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Bad Säckingen,AG Bad Säckingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht St. Blasien,AG St. Blasien,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Schönau,AG Schönau,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Schopfheim,AG Schopfheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Waldshut-Tiengen,AG Waldshut-Tiengen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Oberlandesgericht Stuttgart,OLG Stuttgart,Ordentliche Gerichtsbarkeit,Oberlandesgericht,Baden-Württemberg
Landgericht Ellwangen/Jagst,LG Ellwangen/Jagst,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Aalen,AG Aalen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Bad Mergentheim,AG Bad Mergentheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Crailsheim,AG Crailsheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Ellwangen,AG Ellwangen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Heidenheim an der Brenz,AG Heidenheim an der Brenz,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Langenburg,AG Langenburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Neresheim,AG Neresheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Schwäbisch Gmünd,AG Schwäbisch Gmünd,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Landgericht Hechingen,LG Hechingen,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Albstadt,AG Albstadt,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Balingen,AG Balingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Hechingen,AG Hechingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Sigmaringen,AG Sigmaringen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Landgericht Heilbronn,LG Heilbronn,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Besigheim,AG Besigheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Brackenheim,AG Brackenheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Heilbronn,AG Heilbronn,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Künzelsau,AG Künzelsau,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Marbach am Neckar,AG Marbach am Neckar,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Öhringen,AG Öhringen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Schwäbisch Hall,AG Schwäbisch Hall,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Vaihingen an der Enz,AG Vaihingen an der Enz,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Landgericht Ravensburg,LG Ravensburg,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Bad Saulgau,AG Bad Saulgau,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Bad Waldsee,AG Bad Waldsee,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Biberach an der Riß,AG Biberach an der Riß,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Leutkirch im Allgäu,AG Leutkirch im Allgäu,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Ravensburg,AG Ravensburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Riedlingen,AG Riedlingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Tettnang,AG Tettnang,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Wangen im Allgäu,AG Wangen im Allgäu,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Landgericht Rottweil,LG Rottweil,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Freudenstadt,AG Freudenstadt,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Horb am Neckar,AG Horb am Neckar,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Oberndorf am Neckar,AG Oberndorf am Neckar,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Rottweil,AG Rottweil,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Spaichingen,AG Spaichingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Tuttlingen,AG Tuttlingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Landgericht Stuttgart,LG Stuttgart,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Backnang,AG Backnang,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Böblingen,AG Böblingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Esslingen am Neckar,AG Esslingen am Neckar,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Kirchheim unter Teck,AG Kirchheim unter Teck,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Leonberg,AG Leonberg,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Ludwigsburg,AG Ludwigsburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Nürtingen,AG Nürtingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Schorndorf,AG Schorndorf,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Stuttgart,AG Stuttgart,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Stuttgart-Bad Cannstatt,AG Stuttgart-Bad Cannstatt,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Waiblingen,AG Waiblingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Landgericht Tübingen,LG Tübingen,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Bad Urach,AG Bad Urach,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Calw,AG Calw,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Münsingen,AG Münsingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Nagold,AG Nagold,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Reutlingen,AG Reutlingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Rottenburg am Neckar,AG Rottenburg am Neckar,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Tübingen,AG Tübingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
,,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Landgericht Ulm,LG Ulm,Ordentliche Gerichtsbarkeit,Landgericht,Baden-Württemberg
Amtsgericht Ehingen (Donau),AG Ehingen (Donau),Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Geislingen an der Steige,AG Geislingen an der Steige,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Göppingen,AG Göppingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Amtsgericht Ulm,AG Ulm,Ordentliche Gerichtsbarkeit,Amtsgericht,Baden-Württemberg
Oberlandesgericht Bamberg,OLG Bamberg,Ordentliche Gerichtsbarkeit,Oberlandesgericht,Bayern
Landgericht Aschaffenburg,LG Aschaffenburg,Ordentliche Gerichtsbarkeit,Landgericht,Bayern
Amtsgericht Aschaffenburg,AG Aschaffenburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Obernburg am Main,AG Obernburg am Main,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Landgericht Bamberg,LG Bamberg,Ordentliche Gerichtsbarkeit,Landgericht,Bayern
Amtsgericht Bamberg,AG Bamberg,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Forchheim,AG Forchheim,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Haßfurt,AG Haßfurt,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Landgericht Bayreuth,LG Bayreuth,Ordentliche Gerichtsbarkeit,Landgericht,Bayern
Amtsgericht Bayreuth,AG Bayreuth,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Kulmbach,AG Kulmbach,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Landgericht Coburg,LG Coburg,Ordentliche Gerichtsbarkeit,Landgericht,Bayern
Amtsgericht Coburg,AG Coburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Kronach,AG Kronach,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Lichtenfels,AG Lichtenfels,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Landgericht Hof/Saale,LG Hof/Saale,Ordentliche Gerichtsbarkeit,Landgericht,Bayern
Amtsgericht Hof (Saale),AG Hof (Saale),Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Wunsiedel,AG Wunsiedel,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Landgericht Schweinfurt,LG Schweinfurt,Ordentliche Gerichtsbarkeit,Landgericht,Bayern
Amtsgericht Bad Neustadt an der Saale,AG Bad Neustadt an der Saale,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Bad Kissingen,AG Bad Kissingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Schweinfurt,AG Schweinfurt,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Landgericht Würzburg,LG Würzburg,Ordentliche Gerichtsbarkeit,Landgericht,Bayern
Amtsgericht Gemünden am Main,AG Gemünden am Main,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Kitzingen,AG Kitzingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Würzburg,AG Würzburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Oberlandesgericht München,OLG München,Ordentliche Gerichtsbarkeit,Oberlandesgericht,Bayern
Landgericht Augsburg,LG Augsburg,Ordentliche Gerichtsbarkeit,Landgericht,Bayern
Amtsgericht Aichach,AG Aichach,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Augsburg,AG Augsburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Dillingen an der Donau,AG Dillingen an der Donau,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Landsberg am Lech,AG Landsberg am Lech,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Nördlingen,AG Nördlingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Landgericht Deggendorf,LG Deggendorf,Ordentliche Gerichtsbarkeit,Landgericht,Bayern
Amtsgericht Deggendorf,AG Deggendorf,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Viechtach,AG Viechtach,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Landgericht Ingolstadt,LG Ingolstadt,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Ingolstadt,AG Ingolstadt,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Neuburg an der Donau,AG Neuburg an der Donau,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Pfaffenhofen an der Ilm,AG Pfaffenhofen an der Ilm,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Landgericht Kempten,LG Kempten,Ordentliche Gerichtsbarkeit,Landgericht,Bayern
Amtsgericht Kaufbeuren,AG Kaufbeuren,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Kempten,AG Kempten,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Lindau (Bodensee),AG Lindau (Bodensee),Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Sonthofen,AG Sonthofen,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Landgericht Landshut,LG Landshut,Ordentliche Gerichtsbarkeit,Landgericht,Bayern
Amtsgericht Eggenfelden,AG Eggenfelden,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Erding,AG Erding,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Freising,AG Freising,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Landau an der Isar,AG Landau an der Isar,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Landshut,AG Landshut,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Landgericht Memmingen,LG Memmingen,Ordentliche Gerichtsbarkeit,Landgericht,Bayern
Amtsgericht Amtsgericht Günzburg,AG AG Günzburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Memmingen,AG Memmingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Neu-Ulm,AG Neu-Ulm,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Landgericht München I,LG München I,Ordentliche Gerichtsbarkeit,Landgericht,Bayern
Amtsgericht Amtsgericht München,AG AG München,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Landgericht München II,LG München II,Ordentliche Gerichtsbarkeit,Landgericht,Bayern
Amtsgericht Amtsgericht Dachau,AG AG Dachau,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Ebersberg,AG Ebersberg,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Fürstenfeldbruck,AG Fürstenfeldbruck,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Garmisch-Partenkirchen,AG Garmisch-Partenkirchen,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
Amtsgericht Miesbach,AG Miesbach,Ordentliche Gerichtsbarkeit,Amtsgericht,Bayern
