Name,Abbrevation,Type,Level,Context
Amtsgericht Lahnstein,AG Lahnstein,Ordentliche Gerichtsbarkeit,Amtsgericht,Rheinland-Pfalz
Amtsgericht Linz am Rhein,AG Linz am Rhein,Ordentliche Gerichtsbarkeit,Amtsgericht,Rheinland-Pfalz
Amtsgericht Mayen,AG Mayen,Ordentliche Gerichtsbarkeit,Amtsgericht,Rheinland-Pfalz
Amtsgericht Montabaur,AG Montabaur,Ordentliche Gerichtsbarkeit,Amtsgericht,Rheinland-Pfalz
Amtsgericht Neuwied,AG Neuwied,Ordentliche Gerichtsbarkeit,Amtsgericht,Rheinland-Pfalz
Amtsgericht Sankt Goar,AG Sankt Goar,Ordentliche Gerichtsbarkeit,Amtsgericht,Rheinland-Pfalz
Amtsgericht Sinzig,AG Sinzig,Ordentliche Gerichtsbarkeit,Amtsgericht,Rheinland-Pfalz
Amtsgericht Westerburg,AG Westerburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Rheinland-Pfalz
Landgericht Mainz,LG Mainz,Ordentliche Gerichtsbarkeit,Landgericht,Rheinland-Pfalz
Amtsgericht Alzey,AG Alzey,Ordentliche Gerichtsbarkeit,Amtsgericht,Rheinland-Pfalz
Amtsgericht Bingen am Rhein,AG Bingen am Rhein,Ordentliche Gerichtsbarkeit,Amtsgericht,Rheinland-Pfalz
Amtsgericht Mainz,AG Mainz,Ordentliche Gerichtsbarkeit,Amtsgericht,Rheinland-Pfalz
Amtsgericht Worms,AG Worms,Ordentliche Gerichtsbarkeit,Amtsgericht,Rheinland-Pfalz
Landgericht Trier,LG Trier,Ordentliche Gerichtsbarkeit,Landgericht,Rheinland-Pfalz
Amtsgericht Bernkastel-Kues,AG Bernkastel-Kues,Ordentliche Gerichtsbarkeit,Amtsgericht,Rheinland-Pfalz
Amtsgericht Bitburg,AG Bitburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Rheinland-Pfalz
Amtsgericht Daun,AG Daun,Ordentliche Gerichtsbarkeit,Amtsgericht,Rheinland-Pfalz
Amtsgericht Hermeskeil,AG Hermeskeil,Ordentliche Gerichtsbarkeit,Amtsgericht,Rheinland-Pfalz
Amtsgericht Prüm,AG Prüm,Ordentliche Gerichtsbarkeit,Amtsgericht,Rheinland-Pfalz
Amtsgericht Saarburg,AG Saarburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Rheinland-Pfalz
Amtsgericht Trier,AG Trier,Ordentliche Gerichtsbarkeit,Amtsgericht,Rheinland-Pfalz
Amtsgericht Wittlich,AG Wittlich,Ordentliche Gerichtsbarkeit,Amtsgericht,Rheinland-Pfalz
Saarländisches Oberlandesgericht,OLG Saarbrücken,Ordentliche Gerichtsbarkeit,Oberlandesgericht,Saarland
Landgericht Saarbrücken,LG Saarbrücken,Ordentliche Gerichtsbarkeit,Landgericht,Saarland
Amtsgericht Homburg,AG Homburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Saarland
Amtsgericht Lebach,AG Lebach,Ordentliche Gerichtsbarkeit,Amtsgericht,Saarland
Amtsgericht Merzig,AG Merzig,Ordentliche Gerichtsbarkeit,Amtsgericht,Saarland
Amtsgericht Neunkirchen,AG Neunkirchen,Ordentliche Gerichtsbarkeit,Amtsgericht,Saarland
Amtsgericht Ottweiler,AG Ottweiler,Ordentliche Gerichtsbarkeit,Amtsgericht,Saarland
Amtsgericht Saarbrücken,AG Saarbrücken,Ordentliche Gerichtsbarkeit,Amtsgericht,Saarland
Amtsgericht Saarlouis,AG Saarlouis,Ordentliche Gerichtsbarkeit,Amtsgericht,Saarland
Amtsgericht St. Ingbert,AG St. Ingbert,Ordentliche Gerichtsbarkeit,Amtsgericht,Saarland
Amtsgericht St. Wendel,AG St. Wendel,Ordentliche Gerichtsbarkeit,Amtsgericht,Saarland
Amtsgericht Völklingen,AG Völklingen,Ordentliche Gerichtsbarkeit,Amtsgericht,Saarland
Oberlandesgericht Dresden,OLG Dresden,Ordentliche Gerichtsbarkeit,Oberlandesgericht,Sachsen
Landgericht Chemnitz,LG Chemnitz,Ordentliche Gerichtsbarkeit,Landgericht,Sachsen
Amtsgericht Aue,AG Aue,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen
Amtsgericht Chemnitz,AG Chemnitz,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen
Amtsgericht Döbeln,AG Döbeln,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen
Amtsgericht Freiberg,AG Freiberg,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen
Amtsgericht Marienberg,AG Marienberg,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen
Landgericht Dresden,LG Dresden,Ordentliche Gerichtsbarkeit,Landgericht,Sachsen
Amtsgericht Dippoldiswalde,AG Dippoldiswalde,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen
Amtsgericht Dresden,AG Dresden,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen
Amtsgericht Meißen,AG Meißen,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen
Amtsgericht Pirna,AG Pirna,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen
Amtsgericht Riesa,AG Riesa,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen
Landgericht Görlitz,LG Görlitz,Ordentliche Gerichtsbarkeit,Landgericht,Sachsen
Amtsgericht Bautzen,AG Bautzen,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen
Amtsgericht Görlitz,AG Görlitz,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen
Amtsgericht Hoyerswerda,AG Hoyerswerda,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen
Amtsgericht Kamenz,AG Kamenz,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen
Amtsgericht Weißwasser,AG Weißwasser,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen
Amtsgericht Zittau,AG Zittau,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen
Landgericht Leipzig,LG Leipzig,Ordentliche Gerichtsbarkeit,Landgericht,Sachsen
Amtsgericht Borna,AG Borna,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen
Amtsgericht Eilenburg,AG Eilenburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen
Amtsgericht Grimma,AG Grimma,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen
Amtsgericht Leipzig,AG Leipzig,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen
Amtsgericht Torgau,AG Torgau,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen
Landgericht Zwickau,LG Zwickau,Ordentliche Gerichtsbarkeit,Landgericht,Sachsen
Amtsgericht Auerbach,AG Auerbach,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen
Amtsgericht Hohenstein-Ernstthal,AG Hohenstein-Ernstthal,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen
Amtsgericht Plauen,AG Plauen,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen
Amtsgericht Zwickau,AG Zwickau,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen
Oberlandesgericht Naumburg,OLG Naumburg,Ordentliche Gerichtsbarkeit,Oberlandesgericht,Sachsen-Anhalt
Landgericht Dessau-Roßlau,LG Dessau-Roßlau,Ordentliche Gerichtsbarkeit,Landgericht,Sachsen-Anhalt
Amtsgericht Bitterfeld-Wolfen,AG Bitterfeld-Wolfen,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Dessau-Roßlau,AG Dessau-Roßlau,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Köthen,AG Köthen,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Wittenberg,AG Wittenberg,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Zerbst,AG Zerbst,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Landgericht Halle,LG Halle,Ordentliche Gerichtsbarkeit,Landgericht,Sachsen-Anhalt
Amtsgericht Eisleben,AG Eisleben,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Halle (Saale),AG Halle (Saale),Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Merseburg,AG Merseburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Naumburg,AG Naumburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Sangerhausen,AG Sangerhausen,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Weißenfels,AG Weißenfels,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Zeitz,AG Zeitz,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Landgericht Magdeburg,LG Magdeburg,Ordentliche Gerichtsbarkeit,Landgericht,Sachsen-Anhalt
Amtsgericht Aschersleben,AG Aschersleben,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Bernburg,AG Bernburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Halberstadt,AG Halberstadt,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Haldensleben,AG Haldensleben,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Magdeburg,AG Magdeburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Oschersleben,AG Oschersleben,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Quedlinburg,AG Quedlinburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Schönebeck,AG Schönebeck,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Wernigerode,AG Wernigerode,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Landgericht Stendal,LG Stendal,Ordentliche Gerichtsbarkeit,Landgericht,Sachsen-Anhalt
Amtsgericht Burg,AG Burg,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Gardelegen,AG Gardelegen,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Salzwedel,AG Salzwedel,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Stendal,AG Stendal,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Schleswig-Holsteinisches Oberlandesgericht,OLG Schleswig,Ordentliche Gerichtsbarkeit,Oberlandesgericht,Sachsen-Anhalt
Landgericht Flensburg,LG Flensburg,Ordentliche Gerichtsbarkeit,Landgericht,Sachsen-Anhalt
Amtsgericht Flensburg,AG Flensburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Husum,AG Husum,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Niebüll,AG Niebüll,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Schleswig,AG Schleswig,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Landgericht Itzehoe,LG Itzehoe,Ordentliche Gerichtsbarkeit,Landgericht,Sachsen-Anhalt
Amtsgericht Elmshorn,AG Elmshorn,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Itzehoe,AG Itzehoe,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Meldorf,AG Meldorf,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Pinneberg,AG Pinneberg,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Landgericht Kiel,LG Kiel,Ordentliche Gerichtsbarkeit,Landgericht,Sachsen-Anhalt
Amtsgericht Bad Segeberg,AG Bad Segeberg,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Eckernförde,AG Eckernförde,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Kiel,AG Kiel,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Neumünster,AG Neumünster,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Norderstedt,AG Norderstedt,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Plön,AG Plön,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Rendsburg,AG Rendsburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Landgericht Lübeck,LG Lübeck,Ordentliche Gerichtsbarkeit,Landgericht,Sachsen-Anhalt
Amtsgericht Ahrensburg,AG Ahrensburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Eutin,AG Eutin,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Lübeck,AG Lübeck,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Oldenburg in Holstein,AG Oldenburg in Holstein,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Ratzeburg,AG Ratzeburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Reinbek,AG Reinbek,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Amtsgericht Schwarzenbek,AG Schwarzenbek,Ordentliche Gerichtsbarkeit,Amtsgericht,Sachsen-Anhalt
Thüringer Oberlandesgericht,OLG Jena,Ordentliche Gerichtsbarkeit,Oberlandesgericht,Thüringen
Landgericht Erfurt,LG Erfurt,Ordentliche Gerichtsbarkeit,Landgericht,Thüringen
Amtsgericht Apolda,AG Apolda,Ordentliche Gerichtsbarkeit,Amtsgericht,Thüringen
Amtsgericht Arnstadt,AG Arnstadt,Ordentliche Gerichtsbarkeit,Amtsgericht,Thüringen
Amtsgericht Erfurt,AG Erfurt,Ordentliche Gerichtsbarkeit,Amtsgericht,Thüringen
Amtsgericht Gotha,AG Gotha,Ordentliche Gerichtsbarkeit,Amtsgericht,Thüringen
Amtsgericht Sömmerda,AG Sömmerda,Ordentliche Gerichtsbarkeit,Amtsgericht,Thüringen
Amtsgericht Weimar,AG Weimar,Ordentliche Gerichtsbarkeit,Amtsgericht,Thüringen
Landgericht Gera,LG Gera,Ordentliche Gerichtsbarkeit,Landgericht,Thüringen
Amtsgericht Altenburg,AG Altenburg,Ordentliche Gerichtsbarkeit,Amtsgericht,Thüringen
Amtsgericht Gera,AG Gera,Ordentliche Gerichtsbarkeit,Amtsgericht,Thüringen
Amtsgericht Greiz,AG Greiz,Ordentliche Gerichtsbarkeit,Amtsgericht,Thüringen
Amtsgericht Jena,AG Jena,Ordentliche Gerichtsbarkeit,Amtsgericht,Thüringen
Amtsgericht Pößneck,AG Pößneck,Ordentliche Gerichtsbarkeit,Amtsgericht,Thüringen
Amtsgericht Rudolstadt,AG Rudolstadt,Ordentliche Gerichtsbarkeit,Amtsgericht,Thüringen
Amtsgericht Stadtroda,AG Stadtroda,Ordentliche Gerichtsbarkeit,Amtsgericht,Thüringen
Landgericht Meiningen,LG Meiningen,Ordentliche Gerichtsbarkeit,Landgericht,Thüringen
Amtsgericht Bad Salzungen,AG Bad Salzungen,Ordentliche Gerichtsbarkeit,Amtsgericht,Thüringen
Amtsgericht Eisenach,AG Eisenach,Ordentliche Gerichtsbarkeit,Amtsgericht,Thüringen
Amtsgericht Hildburghausen,AG Hildburghausen,Ordentliche Gerichtsbarkeit,Amtsgericht,Thüringen
Amtsgericht Ilmenau,AG Ilmenau,Ordentliche Gerichtsbarkeit,Amtsgericht,Thüringen
Amtsgericht Meiningen,AG Meiningen,Ordentliche Gerichtsbarkeit,Amtsgericht,Thüringen
Amtsgericht Sonneberg,AG Sonneberg,Ordentliche Gerichtsbarkeit,Amtsgericht,Thüringen
Amtsgericht Suhl,AG Suhl,Ordentliche Gerichtsbarkeit,Amtsgericht,Thüringen
Landgericht Mühlhausen,LG Mühlhausen,Ordentliche Gerichtsbarkeit,Landgericht,Thüringen
Amtsgericht Heilbad Heiligenstadt,AG Heilbad Heiligenstadt,Ordentliche Gerichtsbarkeit,Amtsgericht,Thüringen
Amtsgericht Mühlhausen/Thüringen,AG Mühlhausen/Thüringen,Ordentliche Gerichtsbarkeit,Amtsgericht,Thüringen
Amtsgericht Nordhausen,AG Nordhausen,Ordentliche Gerichtsbarkeit,Amtsgericht,Thüringen
Amtsgericht Sondershausen,AG Sondershausen,Ordentliche Gerichtsbarkeit,Amtsgericht,Thüringen
Bundesverwaltungsgericht,BVerwG,Verwaltungsgerichtsbarkeit,Oberster Gerichtshof des Bundes,Bund
Verwaltungsgerichtshof Baden-Württemberg,VerwGH Mannheim,Verwaltungsgerichtsbarkeit,Oberverwaltungsgericht,Baden-Württemberg
Verwaltungsgericht Freiburg,VG Freiburg,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Baden-Württemberg
Verwaltungsgericht Karlsruhe,VG Karlsruhe,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Baden-Württemberg
Verwaltungsgericht Sigmaringen,VG Sigmaringen,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Baden-Württemberg
Verwaltungsgericht Stuttgart,VG Stuttgart,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Baden-Württemberg
Bayerischer Verwaltungsgerichtshof,VerwGH München,Verwaltungsgerichtsbarkeit,Oberverwaltungsgericht,Bayern
Verwaltungsgericht Ansbach,VG Ansbach,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Bayern
Verwaltungsgericht Augsburg,VG Augsburg,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Bayern
Verwaltungsgericht Bayreuth,VG Bayreuth,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Bayern
Verwaltungsgericht München,VG München,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Bayern
Verwaltungsgericht Regensburg,VG Regensburg,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Bayern
Verwaltungsgericht Würzburg,VG Würzburg,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Bayern
Oberverwaltungsgericht Berlin-Brandenburg,OVG Berlin-Brandenburg,Verwaltungsgerichtsbarkeit,Oberverwaltungsgericht,Berlin-Brandenburg
Verwaltungsgericht Berlin,VG Berlin,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Berlin-Brandenburg
Verwaltungsgericht Cottbus,VG Cottbus,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Berlin-Brandenburg
Verwaltungsgericht Frankfurt (Oder),VG Frankfurt (Oder),Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Berlin-Brandenburg
Verwaltungsgericht Potsdam,VG Potsdam,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Berlin-Brandenburg
Oberverwaltungsgericht der Freien Hansestadt Bremen,OVG Bremen,Verwaltungsgerichtsbarkeit,Oberverwaltungsgericht,Bremen
Verwaltungsgericht der Freien Hansestadt Bremen,VG Bremen,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Bremen
Hamburgisches Oberverwaltungsgericht,Hamburgisches OVG,Verwaltungsgerichtsbarkeit,Oberverwaltungsgericht,Hamburg
Verwaltungsgericht Hamburg,VG Hamburg,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Hamburg
Hessischer Verwaltungsgerichtshof,Hessischer VerwGH,Verwaltungsgerichtsbarkeit,Oberverwaltungsgericht,Hessen
Verwaltungsgericht Darmstadt,VG Darmstadt,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Hessen
Verwaltungsgericht Frankfurt am Main,VG Frankfurt am Main,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Hessen
Verwaltungsgericht Gießen,VG Gießen,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Hessen
Verwaltungsgericht Kassel,VG Kassel,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Hessen
Verwaltungsgericht Wiesbaden,VG Wiesbaden,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Hessen
Oberverwaltungsgericht Mecklenburg-Vorpommern,OVG Greifswald,Verwaltungsgerichtsbarkeit,Oberverwaltungsgericht,Mecklenburg-Vorpommern
Verwaltungsgericht Schwerin,VG Schwerin,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Mecklenburg-Vorpommern
Verwaltungsgericht Greifswald,VG Greifswald,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Mecklenburg-Vorpommern
Niedersächsisches Oberverwaltungsgericht,OVG Lüneburg,Verwaltungsgerichtsbarkeit,Oberverwaltungsgericht,Niedersachsen
Verwaltungsgericht Braunschweig,VG Braunschweig,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Niedersachsen
Verwaltungsgericht Göttingen,VG Göttingen,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Niedersachsen
Verwaltungsgericht Hannover,VG Hannover,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Niedersachsen
Verwaltungsgericht Lüneburg,VG Lüneburg,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Niedersachsen
Verwaltungsgericht Oldenburg,VG Oldenburg,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Niedersachsen
Verwaltungsgericht Osnabrück,VG Osnabrück,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Niedersachsen
Verwaltungsgericht Stade,VG Stade,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Niedersachsen
Oberverwaltungsgericht für das Land Nordrhein-Westfalen,OVG Münster,Verwaltungsgerichtsbarkeit,Oberverwaltungsgericht,Nordrhein-Westfalen
Verwaltungsgericht Aachen,VG Aachen,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Nordrhein-Westfalen
Verwaltungsgericht Arnsberg,VG Arnsberg,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Nordrhein-Westfalen
Verwaltungsgericht Düsseldorf,VG Düsseldorf,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Nordrhein-Westfalen
Verwaltungsgericht Gelsenkirchen,VG Gelsenkirchen,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Nordrhein-Westfalen
Verwaltungsgericht Köln,VG Köln,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Nordrhein-Westfalen
Verwaltungsgericht Minden,VG Minden,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Nordrhein-Westfalen
Verwaltungsgericht Münster,VG Münster,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Nordrhein-Westfalen
Oberverwaltungsgericht Rheinland-Pfalz,OVG Koblenz,Verwaltungsgerichtsbarkeit,Oberverwaltungsgericht,Rheinland-Pfalz
Verwaltungsgericht Koblenz,VG Koblenz,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Rheinland-Pfalz
Verwaltungsgericht Mainz,VG Mainz,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Rheinland-Pfalz
Verwaltungsgericht Neustadt an der Weinstraße,VG Neustadt,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Rheinland-Pfalz
Verwaltungsgericht Trier,VG Trier,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Rheinland-Pfalz
Oberverwaltungsgericht des Saarlandes,OVG Saarlouis,Verwaltungsgerichtsbarkeit,Oberverwaltungsgericht,Saarland
Verwaltungsgericht des Saarlandes,VG Saarlouis,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Saarland
Sächsisches Oberverwaltungsgericht,OVG Bautzen,Verwaltungsgerichtsbarkeit,Oberverwaltungsgericht,Sachsen
Verwaltungsgericht Chemnitz,VG Chemnitz,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Sachsen
Verwaltungsgericht Dresden,VG Dresden,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Sachsen
Verwaltungsgericht Leipzig,VG Leipzig,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Sachsen-Anhalt
Oberverwaltungsgericht des Landes Sachsen-Anhalt,OVG Magdeburg,Verwaltungsgerichtsbarkeit,Oberverwaltungsgericht,Sachsen-Anhalt
Verwaltungsgerichte Halle,VG Halle,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Sachsen-Anhalt
Verwaltungsgerichte Magdeburg,VG Magdeburg,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Sachsen-Anhalt
Schleswig-Holsteinisches Oberverwaltungsgericht,OVG Schleswig,Verwaltungsgerichtsbarkeit,Oberverwaltungsgericht,Schleswig-Holstein
Schleswig-Holsteinisches Verwaltungsgericht,VG Schleswig,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Schleswig-Holstein
Thüringer Oberverwaltungsgericht,OVG Weimar,Verwaltungsgerichtsbarkeit,Oberverwaltungsgericht,Thüringen
Verwaltungsgerichte Gera,VG Gera,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Thüringen
Verwaltungsgerichte Meiningen,VG Meiningen,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Thüringen
Verwaltungsgerichte Weimar,VG Weimar,Verwaltungsgerichtsbarkeit,Verwaltungsgericht,Thüringen
